;Code;Parcel;Introduced_bee;Tree;Collection_date;Species;Nb_sample;Ranuculacea; Rosacea;Quercus;Crucifera;Salix;Other;Visited plant
116;P5bC7;5;O. bicornis;cherry;43568;O. cornuta;7;0;100;0;0;0;0; Rosacea
117;P5bC8;5;O. bicornis;cherry;43568;O. cornuta;8;0;97.65258216;0;0;2.34741784;0; Rosacea
119;P6bA1;6;O. bicornis;apple;43579;O. bicornis;1;0;6.896551724;93.10344828;0;0;0;Quercus
120;P6bA10;6;O. bicornis;apple;43586;O. bicornis;10;99.2481203;0.751879699;0;0;0;0;Ranuculacea
121;P6bA11;6;O. bicornis;apple;43586;O. bicornis;11;100;0;0;0;0;0;Ranuculacea
122;P6bA12;6;O. bicornis;apple;43586;O. cornuta;12;0;99.15966387;0;0;0;0.840336134; Rosacea
123;P6bA13;6;O. bicornis;apple;43586;O. cornuta;13;0;100;0;0;0;0; Rosacea
124;P6bA14;6;O. bicornis;apple;43586;O. cornuta;14;0;100;0;0;0;0; Rosacea
125;P6bA15;6;O. bicornis;apple;43586;O. cornuta;15;0;100;0;0;0;0; Rosacea
126;P6bA16;6;O. bicornis;apple;43586;O. cornuta;16;0;100;0;0;0;0; Rosacea
128;P6bA3;6;O. bicornis;apple;43579;O. bicornis;3;0;13.63636364;86.36363636;0;0;0;Quercus
129;P6bA4;6;O. bicornis;apple;43579;O. cornuta;4;0;100;0;0;0;0; Rosacea
130;P6bA5;6;O. bicornis;apple;43579;O. cornuta;5;0;100;0;0;0;0; Rosacea
131;P6bA6;6;O. bicornis;apple;43579;O. cornuta;6;0;100;0;0;0;0; Rosacea
132;P6bA7;6;O. bicornis;apple;43586;O. bicornis;7;0;0;100;0;0;0;Quercus
133;P6bA8;6;O. bicornis;apple;43586;O. bicornis;8;0;4.444444444;95.55555556;0;0;0;Quercus
134;P6bA9;6;O. bicornis;apple;43586;O. bicornis;9;0;0;100;0;0;0;Quercus
135;P6cA1;6;O. cornuta;apple;43575;O. cornuta;1;0;93.41317365;0;0;6.586826347;0; Rosacea
136;P6cA2;6;O. cornuta;apple;43575;O. cornuta;2;0;96.75324675;0;0;1.298701299;1.948051948; Rosacea
137;P6cA3;6;O. cornuta;apple;43575;O. cornuta;3;0;100;0;0;0;0; Rosacea
138;P6cA4;6;O. cornuta;apple;43577;O. cornuta;4;0;89.92805755;0;0;0;10.07194245; Rosacea
139;P6cA5;6;O. cornuta;apple;43577;O. cornuta;5;0;100;0;0;0;0; Rosacea
140;P6cA6;6;O. cornuta;apple;43577;O. cornuta;6;0;96.36363636;0;0;0.909090909;2.727272727; Rosacea
141;P6cA7;6;O. cornuta;apple;43579;O. cornuta;7;0;100;0;0;0;0; Rosacea
142;P6cA8;6;O. cornuta;apple;43579;O. cornuta;8;0;100;0;0;0;0; Rosacea
143;P6cA9;6;O. cornuta;apple;43579;O. cornuta;9;0;100;0;0;0;0; Rosacea
144;P7bA1;7;O. bicornis;apple;43586;O. bicornis;1;100;0;0;0;0;0;Ranuculacea
145;P7bA10;7;O. bicornis;apple;43586;O. cornuta;10;0;100;0;0;0;0; Rosacea
146;P7bA2;7;O. bicornis;apple;43586;O. bicornis;2;0;5.504587156;94.49541284;0;0;0;Quercus
148;P7bA4;7;O. bicornis;apple;43586;O. bicornis;4;97.08737864;2.912621359;0;0;0;0;Ranuculacea
149;P7bA5;7;O. bicornis;apple;43586;O. bicornis;5;100;0;0;0;0;0;Ranuculacea
150;P7bA6;7;O. bicornis;apple;43586;O. cornuta;6;0;100;0;0;0;0; Rosacea
151;P7bA7;7;O. bicornis;apple;43586;O. cornuta;7;0;100;0;0;0;0; Rosacea
