;Code;Parcel;Introduced_bee;Tree;Collection_date;Bee;Nb_sample;Ranuculacea;Rosacea;Quercus;Crucifera;Ericaceae;Fagus;Ilex;Salix;C..fenestrada...Asteràcia.fenestrada....Taraxacum.or.similar..;Pinus;Juglans;Aesculus;Corylus;Olea;unknown;Lamiacase..thymus..;Helleborus;Lamium;Betulaceae;Monocot;Polygonum
46;P2cC6;2;cornuta;cherry;19/04/2019;cornuta;6;0;99.23076923;0;0.769230769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;P2cC7;2;cornuta;cherry;19/04/2019;cornuta;7;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;P2cC8;2;cornuta;cherry;19/04/2019;cornuta;8;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;P2cC9;2;cornuta;cherry;21/04/2019;cornuta;9;0;96.62921348;0;0;0;0;0;0;3.370786517;0;0;0;0;0;0;0;0;0;0;0;0
50;P4bA1;4;bicornis;apple;23/04/2019;bicornis;1;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;P4bA10;4;bicornis;apple;25/04/2019;cornuta;10;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;P4bA11;4;bicornis;apple;25/04/2019;cornuta;11;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;P4bA12;4;bicornis;apple;25/04/2019;cornuta;12;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;P4bA13;4;bicornis;apple;02/05/2019;bicornis;13;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;P4bA14;4;bicornis;apple;02/05/2019;bicornis;14;0.877192982;0;99.12280702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;P4bA15;4;bicornis;apple;02/05/2019;bicornis;15;0.833333333;99.16666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;P4bA16;4;bicornis;apple;02/05/2019;bicornis;16;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;P4bA17;4;bicornis;apple;02/05/2019;bicornis;17;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;P4bA18;4;bicornis;apple;02/05/2019;cornuta;18;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;P4bA19;4;bicornis;apple;07/05/2019;bicornis;19;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;P4bA2;4;bicornis;apple;23/04/2019;bicornis;2;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;P4bA20;4;bicornis;apple;07/05/2019;bicornis;20;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;P4bA21;4;bicornis;apple;07/05/2019;bicornis;21;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;P4bA22;4;bicornis;apple;30/04/2019;bicornis;22;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;P4bA23;4;bicornis;apple;30/04/2019;bicornis;23;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;P4bA24;4;bicornis;apple;30/04/2019;cornuta;24;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;P4bA3;4;bicornis;apple;23/04/2019;bicornis;3;0;0.552486188;99.44751381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;P4bA4;4;bicornis;apple;23/04/2019;cornuta;4;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;P4bA5;4;bicornis;apple;23/04/2019;cornuta;5;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;P4bA6;4;bicornis;apple;23/04/2019;cornuta;6;0;97.76536313;0.558659218;0;0;0;0;1.675977654;0;0;0;0;0;0;0;0;0;0;0;0;0
71;P4bA7;4;bicornis;apple;25/04/2019;bicornis;7;0;97.93103448;2.068965517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;P4bA8;4;bicornis;apple;25/04/2019;bicornis;8;0;10.71428571;89.28571429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;P4bA9;4;bicornis;apple;25/04/2019;bicornis;9;0;66.09195402;0;0;0;0;0;0;0;0;33.33333333;0.574712644;0;0;0;0;0;0;0;0;0
74;P4cA1;4;cornuta;apple;21/04/2019;cornuta;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
